STRUTHIONIFORMES: Struthionidae
Kenya Rufous Sparrow
Northern Gray-headed Sparrow
Parrot-billed Sparrow
Swahili Sparrow
Southern Gray-headed Sparrow
Chestnut Sparrow
Yellow-spotted Bush Sparrow
Yellow-throated Bush Sparrow
" 
PASSERIFORMES: Motacillidae"
Cape Wagtail
Mountain Wagtail
Gray Wagtail
Western Yellow Wagtail
African Pied Wagtail
White Wagtail
African Pipit
Woodland Pipit
Long-billed Pipit
Plain-backed Pipit
Buffy Pipit
Striped Pipit
Tree Pipit
Red-throated Pipit
Short-tailed Pipit
Bush Pipit
Sokoke Pipit
Golden Pipit
Yellow-throated Longclaw
Fülleborn's Longclaw
Pangani Longclaw
Rosy-throated Longclaw
" 
PASSERIFORMES: Fringillidae"
Oriole Finch
Yellow-fronted Canary
Western Citril
Southern Citril
Papyrus Canary
Black-throated Canary
Reichenow's Seedeater
White-bellied Canary
Southern Grosbeak-Canary
Brimstone Canary
Streaky Seedeater
Yellow-browed Seedeater
Thick-billed Seedeater
Tanzania Seedeater
Black-eared Seedeater
Reichard's Seedeater
Yellow-crowned Canary
" 
PASSERIFORMES: Emberizidae"
Ortolan Bunting
Cabanis's Bunting
Golden-breasted Bunting
Somali Bunting
Vincent's Bunting
Cinnamon-breasted Bunting
